id,data,adicao,nome,comentario,valor,pagamento,categoria,subcategoria,divida,divisao
0,01/02/2019,2019.02.01-22:49:48,AsDASD CXZ ASDAS ASD,,45.0,0,2,-1,,
1,02/02/2019,2019.02.02-00:06:34,Novo Valor,,1.45,0,2,-1,,
2,04/02/2019,2019.02.04-23:40:39,Teste,,10.0,0,0,1,,
3,05/02/2019,2019.02.05-23:10:30,Teste,,3.0,0,2,-1,,
4,05/02/2019,2019.02.05-23:17:50,TEast,,6.0,0,2,-1,,
5,02/02/2019,2019.02.06-00:28:54,AAA,,4.0,0,2,-1,,
6,06/02/2019,2019.02.06-00:33:14,AAA,,10.0,0,2,-1,,
7,05/02/2019,2019.02.06-00:33:27,ASD,,10.0,0,2,-1,,
8,06/02/2019,2019.02.06-21:09:46,Test,,35.0,0,2,-1,,
9,06/02/2019,2019.02.06-21:55:56,alpha,,1.0,0,2,-1,,
10,06/02/2019,2019.02.06-21:56:03,alpha,,2.0,0,2,-1,,
11,06/02/2019,2019.02.06-21:56:15,alpha,,2.0,0,2,-1,,
12,06/02/2019,2019.02.06-21:56:24,Alpha,,6.0,0,2,-1,,
13,29/04/2019,2019.04.29-21:27:14,Teste Hoje,,50.0,0,2,-1,,
14,28/04/2019,2019.04.29-21:50:00,A,,500.0,0,2,-1,,
15,29/04/2019,2019.04.29-21:52:34,asd,,10.0,0,2,-1,,
16,28/04/2019,2019.04.29-21:52:42,AAAA,,10.0,0,2,-1,,
17,30/06/2019,2019.06.30-20:48:54,A,,1.0,0,2,-1,0.0,
18,30/06/2019,2019.06.30-20:51:31,FILA,,1.0,0,2,-1,0.0,
19,30/06/2019,2019.06.30-20:51:31,FILA2,,1.0,0,2,-1,0.0,
